,SURVEYID,DBN,SCHOOL,DISTRICT,BOROUGH,DATE_OF_TEST,TOTAL_TESTED,TOTAL_STUDENT,TOTAL_EMPLOYEE,PERC_OF_TEST_AVAILABLE,PERC_OF_POSITIVE_LAST_SURRVEY,POSTITVE_IN_LAST_SURVERY,POSITIVE_STUDENT_IN_LAST_SURVEY,POSITIVE_EMPLOYEE_IN_LAST_SURVEY,VOLUME,OVER_THRESHOLD,LAB,TEST_TYPE,DATE_OF_LATEST_REPORTING,AVG_TIME,MAX_TURNAROUND,high,middle,elem,elem2,date,,elem = not middle or high
58,61,26Q018,P.S. 018 WINCHESTER,26,Queens,2020-11-18T00:00:00,48,22,26,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
59,62,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,32,Brooklyn,2020-11-18T00:00:00,48,10,38,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
60,63,10X226,P.S. 226,10,Bronx,2020-11-18T00:00:00,48,24,24,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
61,64,02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,2,Manhattan,2020-11-18T00:00:00,48,3,45,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
62,65,26Q031,P.S. 031 BAYSIDE,26,Queens,2020-11-18T00:00:00,47,13,34,100%,11%,5,0,5,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
63,66,02M655,LIFE SCIENCES SECONDARY SCHOOL,2,Manhattan,2020-11-18T00:00:00,47,13,34,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
64,67,18K211,I.S. 211 JOHN WILSON,18,Brooklyn,2020-11-18T00:00:00,46,21,25,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
65,68,22K217,P.S. 217 COLONEL DAVID MARCUS SCHOOL,22,Brooklyn,2020-11-18T00:00:00,44,19,25,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
66,69,27Q480,JOHN ADAMS HIGH SCHOOL,27,Queens,2020-11-18T00:00:00,43,7,36,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
67,70,28Q350,JAMAICA GATEWAY TO THE SCIENCES,28,Queens,2020-11-18T00:00:00,43,3,40,100%,5%,2,0,2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
68,71,11X153,P.S. 153 HELEN KELLER,11,Bronx,2020-11-18T00:00:00,43,14,29,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
69,72,29Q035,P.S. 035 NATHANIEL WOODHULL,29,Queens,2020-11-18T00:00:00,40,11,29,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
70,73,75Q004E,P004Q @ P270Q,75,Queens,2020-11-18T00:00:00,40,0,40,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
71,74,21K100,P.S. 100 THE CONEY ISLAND SCHOOL,21,Brooklyn,2020-11-18T00:00:00,39,0,39,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
72,75,02M546,ACADEMY FOR SOFTWARE ENGINEERING,2,Manhattan,2020-11-18T00:00:00,39,8,31,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
73,76,26Q376,P.S. 376,26,Queens,2020-11-18T00:00:00,38,11,27,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
74,77,75Q811E,Q811 @ Q147,75,Queens,2020-11-18T00:00:00,38,0,38,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
75,78,75R025C,P025R @ I034R,75,Staten Island,2020-11-18T00:00:00,38,0,38,97%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
76,79,20K205,P.S. 205 CLARION,20,Brooklyn,2020-11-18T00:00:00,37,30,7,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
77,80,28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,28,Queens,2020-11-18T00:00:00,36,23,13,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
78,81,29Q138,P.S./M.S. 138 SUNRISE,29,Queens,2020-11-18T00:00:00,36,0,36,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
79,82,31R006,P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,31,Staten Island,2020-11-18T00:00:00,36,0,36,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
80,83,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2,Manhattan,2020-11-18T00:00:00,36,4,32,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
81,84,11X087,P.S. 087 BRONX,11,Bronx,2020-11-18T00:00:00,35,10,25,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
82,85,75Q023E,P023Q QUEENS CHILDREN'S CENTER,75,Queens,2020-11-18T00:00:00,34,5,29,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
83,86,10X077,BEDFORD PARK ELEMENTARY SCHOOL,10,Bronx,2020-11-18T00:00:00,34,12,22,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
84,87,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2,Manhattan,2020-11-18T00:00:00,34,5,29,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
85,88,22K240,ANDRIES HUDDE,22,Brooklyn,2020-11-18T00:00:00,33,9,24,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
86,89,28Q161,P.S. 161 ARTHUR ASHE SCHOOL,28,Queens,2020-11-18T00:00:00,33,5,28,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
87,90,21K253,P.S. 253,21,Brooklyn,2020-11-18T00:00:00,32,5,27,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
88,91,22K315,P.S. K315,22,Brooklyn,2020-11-18T00:00:00,32,14,18,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
89,92,20K247,P.S. 247 BROOKLYN,20,Brooklyn,2020-11-18T00:00:00,31,16,15,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
90,93,02M376,NYC ISCHOOL,2,Manhattan,2020-11-18T00:00:00,31,9,22,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
91,94,75X186,X186 @ X271,75,Bronx,2020-11-18T00:00:00,31,17,14,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
92,95,22K194,P.S. 194 RAOUL WALLENBERG,22,Brooklyn,2020-11-18T00:00:00,29,7,22,100%,3%,1,0,1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
93,96,09X231,EAGLE ACADEMY FOR YOUNG MEN,9,Bronx,2020-11-18T00:00:00,29,11,18,97%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,11/18/20,,
94,97,25Q169,P.S. 169 BAY TERRACE,25,Queens,2020-11-18T00:00:00,28,9,19,96%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
95,98,10X440,DEWITT CLINTON HIGH SCHOOL,10,Bronx,2020-11-18T00:00:00,28,0,28,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
96,99,19K764,URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTHCARE,19,Brooklyn,2020-11-18T00:00:00,27,5,22,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
97,100,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,21,Brooklyn,2020-11-18T00:00:00,27,1,26,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
98,101,20K682,THE ACADEMY OF TALENTED SCHOLARS,20,Brooklyn,2020-11-18T00:00:00,26,10,16,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
99,102,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,28,Queens,2020-11-18T00:00:00,26,4,22,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,11/18/20,,
100,103,02M432,MURRAY HILL ACADEMY,2,Manhattan,2020-11-18T00:00:00,26,10,16,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
101,104,22K245,P.S. 245,22,Brooklyn,2020-11-18T00:00:00,25,8,17,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
102,105,75K231A,P.S. 231K @ P.S. 264K BAY RIDGE ELEMENTARY SCHOOL,75,Brooklyn,2020-11-18T00:00:00,25,0,25,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
103,106,79Q950MM,] P2G @ ST. GEORGE - REFERRAL CENTER/HUB,79,Queens,2020-11-18T00:00:00,25,5,20,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
104,107,06M098,P.S. 098 SHORAC KAPPOCK,6,Manhattan,2020-11-18T00:00:00,25,4,21,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
105,108,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,2,Manhattan,2020-11-18T00:00:00,25,14,11,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
106,109,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,19,Brooklyn,2020-11-18T00:00:00,24,3,21,100%,4%,1,0,1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
107,110,29Q243,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,29,Queens,2020-11-18T00:00:00,24,1,23,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
108,111,29Q492,"ATHEMATICS, SCIENCE RESEARCH & TECHNOLOGY MAGNET HS",29,Queens,2020-11-18T00:00:00,24,0,24,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
109,112,06M132,P.S. 132 JUAN PABLO DUARTE,6,Manhattan,2020-11-18T00:00:00,24,5,19,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
